Date,Id,Nominal,Value,VunitRate
20.08.2021,R01035,1,"101,5414","101,5414"
21.08.2021,R01035,1,"101,3210","101,321"
24.08.2021,R01035,1,"101,1009","101,1009"
25.08.2021,R01035,1,"101,3141","101,3141"
26.08.2021,R01035,1,"101,3447","101,3447"
27.08.2021,R01035,1,"101,6782","101,6782"
28.08.2021,R01035,1,"101,3690","101,369"
31.08.2021,R01035,1,"101,3119","101,3119"
01.09.2021,R01035,1,"100,9479","100,9479"
02.09.2021,R01035,1,"100,6965","100,6965"
03.09.2021,R01035,1,"100,3861","100,3861"
04.09.2021,R01035,1,"100,8088","100,8088"
07.09.2021,R01035,1,"101,0045","101,0045"
08.09.2021,R01035,1,"101,0986","101,0986"
09.09.2021,R01035,1,"101,0196","101,0196"
10.09.2021,R01035,1,"100,9619","100,9619"
11.09.2021,R01035,1,"100,9982","100,9982"
14.09.2021,R01035,1,"100,9730","100,973"
15.09.2021,R01035,1,"100,8877","100,8877"
16.09.2021,R01035,1,"100,7762","100,7762"
17.09.2021,R01035,1,"100,0805","100,0805"
18.09.2021,R01035,1,"100,1621","100,1621"
21.09.2021,R01035,1,"100,2222","100,2222"
22.09.2021,R01035,1,"100,1687","100,1687"
23.09.2021,R01035,1,"99,4310","99,431"
24.09.2021,R01035,1,"99,4362","99,4362"
25.09.2021,R01035,1,"100,0722","100,0722"
28.09.2021,R01035,1,"99,4951","99,4951"
29.09.2021,R01035,1,"99,0681","99,0681"
30.09.2021,R01035,1,"98,3726","98,3726"
01.10.2021,R01035,1,"97,6462","97,6462"
02.10.2021,R01035,1,"98,1742","98,1742"
05.10.2021,R01035,1,"98,8046","98,8046"
06.10.2021,R01035,1,"98,8021","98,8021"
07.10.2021,R01035,1,"98,4750","98,475"
08.10.2021,R01035,1,"98,1419","98,1419"
09.10.2021,R01035,1,"97,8608","97,8608"
12.10.2021,R01035,1,"97,6918","97,6918"
13.10.2021,R01035,1,"97,6922","97,6922"
14.10.2021,R01035,1,"97,9780","97,978"
15.10.2021,R01035,1,"98,3449","98,3449"
16.10.2021,R01035,1,"97,7729","97,7729"
19.10.2021,R01035,1,"97,6899","97,6899"
20.10.2021,R01035,1,"97,8428","97,8428"
21.10.2021,R01035,1,"97,9500","97,95"
22.10.2021,R01035,1,"97,9668","97,9668"
23.10.2021,R01035,1,"97,6482","97,6482"
26.10.2021,R01035,1,"96,6453","96,6453"
27.10.2021,R01035,1,"95,8018","95,8018"
28.10.2021,R01035,1,"95,9823","95,9823"
29.10.2021,R01035,1,"97,0083","97,0083"
30.10.2021,R01035,1,"97,2118","97,2118"
02.11.2021,R01035,1,"97,2034","97,2034"
03.11.2021,R01035,1,"97,5750","97,575"
04.11.2021,R01035,1,"97,3733","97,3733"
09.11.2021,R01035,1,"96,0725","96,0725"
10.11.2021,R01035,1,"96,6860","96,686"
11.11.2021,R01035,1,"95,7210","95,721"
12.11.2021,R01035,1,"95,2394","95,2394"
13.11.2021,R01035,1,"96,0842","96,0842"
16.11.2021,R01035,1,"96,9751","96,9751"
17.11.2021,R01035,1,"97,6304","97,6304"
18.11.2021,R01035,1,"97,9685","97,9685"
19.11.2021,R01035,1,"98,0202","98,0202"
20.11.2021,R01035,1,"98,1410","98,141"
23.11.2021,R01035,1,"98,5854","98,5854"
24.11.2021,R01035,1,"100,1860","100,186"
25.11.2021,R01035,1,"99,4734","99,4734"
26.11.2021,R01035,1,"99,5393","99,5393"
27.11.2021,R01035,1,"100,5613","100,5613"
30.11.2021,R01035,1,"99,9432","99,9432"
01.12.2021,R01035,1,"99,8843","99,8843"
02.12.2021,R01035,1,"98,3344","98,3344"
03.12.2021,R01035,1,"98,4158","98,4158"
04.12.2021,R01035,1,"97,9449","97,9449"
07.12.2021,R01035,1,"97,6341","97,6341"
08.12.2021,R01035,1,"98,4578","98,4578"
09.12.2021,R01035,1,"97,7638","97,7638"
10.12.2021,R01035,1,"97,1517","97,1517"
11.12.2021,R01035,1,"97,2334","97,2334"
14.12.2021,R01035,1,"97,1884","97,1884"
15.12.2021,R01035,1,"97,0610","97,061"
16.12.2021,R01035,1,"97,9634","97,9634"
17.12.2021,R01035,1,"97,7903","97,7903"
18.12.2021,R01035,1,"98,2713","98,2713"
21.12.2021,R01035,1,"98,0987","98,0987"
22.12.2021,R01035,1,"97,7680","97,768"
23.12.2021,R01035,1,"97,9490","97,949"
24.12.2021,R01035,1,"98,1974","98,1974"
25.12.2021,R01035,1,"98,1459","98,1459"
28.12.2021,R01035,1,"98,2200","98,22"
29.12.2021,R01035,1,"98,7638","98,7638"
30.12.2021,R01035,1,"98,8254","98,8254"
31.12.2021,R01035,1,"100,0573","100,0573"
11.01.2022,R01035,1,"102,0436","102,0436"
12.01.2022,R01035,1,"101,9035","101,9035"
13.01.2022,R01035,1,"101,5663","101,5663"
14.01.2022,R01035,1,"102,4945","102,4945"
15.01.2022,R01035,1,"104,0505","104,0505"
18.01.2022,R01035,1,"104,0461","104,0461"
19.01.2022,R01035,1,"104,1816","104,1816"
20.01.2022,R01035,1,"104,4813","104,4813"
21.01.2022,R01035,1,"104,2041","104,2041"
22.01.2022,R01035,1,"103,9997","103,9997"
25.01.2022,R01035,1,"104,8449","104,8449"
26.01.2022,R01035,1,"106,0018","106,0018"
27.01.2022,R01035,1,"106,6135","106,6135"
28.01.2022,R01035,1,"105,8995","105,8995"
29.01.2022,R01035,1,"104,0808","104,0808"
01.02.2022,R01035,1,"104,1432","104,1432"
02.02.2022,R01035,1,"103,9175","103,9175"
03.02.2022,R01035,1,"103,5988","103,5988"
04.02.2022,R01035,1,"103,8762","103,8762"
05.02.2022,R01035,1,"103,2771","103,2771"
08.02.2022,R01035,1,"102,4640","102,464"
09.02.2022,R01035,1,"101,8791","101,8791"
